Avg CL Claim Amount by Province (Top 15 in plot)

    CLAIM_PROVINCE  AVERAGE_CLAIM_AMOUNT
56              MS           2587.491144
71              PT           2547.012402
68              PO           2499.347395
43              KR           2447.530000
96              TR           2418.117028
59              NU           2410.205434
2               AN           2401.656496
35              FI           2368.651955
79              RI           2366.978188
80              RM           2366.664991
48              LT           2352.995870
49              LU           2307.659276
86              SP           2306.971179
51              MC           2305.590587
66              PI           2304.252223
98              TV           2273.843734
91              TA           2265.445214
38              GE           2193.382642
94              TO           2187.616014
76              RC           2178.919992
85              SO           2169.834761
0               AG           2156.186514
100        Unknown           2142.902148
37              FR           2130.210945
70              PS           2128.000000
24              CL           2122.985119
12              BL           2118.580567
83              SA           2112.256049
104             VE           2111.532253
34              FG           2108.724566
18              BZ           2106.994649
105             VI           2090.298298
21              CE           2076.928681
46              LI           2076.747541
81              RN           2048.665655
19              CA           2040.413249
109             VV           2033.832273
45              LE           2031.618255
5               AQ           2029.122933
63              PD           2028.089781
15              BR           2023.927750
54              MN           2017.875350
72              PU           2013.574551
65              PG           2010.614305
40              GR           2007.581979
36              FM           2004.659250
14              BO           2002.931060
6               AR           2002.293526
88              SS           1998.363074
93              TN           1997.181565
26              CO           1996.384513
32              FC           1991.529416
84              SI           1981.885887
99              UD           1981.836842
82              RO           1980.595882
69              PR           1972.055290
108             VT           1970.289795
106             VR           1959.110466
55              MO           1952.949072
77              RE           1951.146317
44              LC           1944.542575
75              RA           1943.847518
78              RG           1936.717094
67              PN           1931.347060
16              BS           1923.657047
29              CT           1923.532887
9               BA           1921.225081
8               AV           1917.715398
25              CN           1914.251487
33              FE           1910.760171
92              TE           1907.255584
7               AT           1900.360180
17              BT           1896.638725
13              BN           1893.006289
87              SR           1892.679844
50              MB           1891.919681
62              PC           1891.460066
31              EN           1888.581479
53              MI           1884.507923
64              PE           1877.106602
22              CH           1862.756070
52              ME           1850.308895
10              BG           1849.123949
30              CZ           1845.979953
74              PZ           1844.265592
97              TS           1838.081951
11              BI           1827.210603
39              GO           1823.414390
47              LO           1819.094551
101             VA           1810.430265
4               AP           1809.626012
58              NO           1802.963216
41              IM           1799.122056
27              CR           1796.830963
95              TP           1796.572734
103             VC           1793.854973
57              MT           1777.205363
28              CS           1770.422842
1               AL           1766.703523
89              SU           1740.667013
90              SV           1724.505854
61              PA           1716.190945
60              OR           1702.269509
107             VS           1690.000000
3               AO           1663.367139
73              PV           1631.464605
102             VB           1613.093250
20              CB           1561.386239
42              IS           1536.171316
23              CI            674.185000
