CL Claims by Province (Top 15 shown in plot)

    CLAIM_PROVINCE  NUMBER_OF_CLAIMS
94              TO              9882
80              RM              9094
100        Unknown              6211
53              MI              5190
61              PA              4616
105             VI              3290
63              PD              2973
35              FI              2880
9               BA              2846
99              UD              2818
88              SS              2785
10              BG              2755
16              BS              2655
52              ME              2552
65              PG              2344
38              GE              2188
98              TV              2156
25              CN              2037
101             VA              1926
21              CE              1910
14              BO              1877
55              MO              1842
81              RN              1818
90              SV              1756
108             VT              1707
104             VE              1669
106             VR              1609
95              TP              1562
49              LU              1546
32              FC              1422
75              RA              1422
66              PI              1417
29              CT              1410
19              CA              1299
40              GR              1263
18              BZ              1254
45              LE              1232
76              RC              1225
48              LT              1218
1               AL              1195
86              SP              1137
50              MB              1129
77              RE              1124
26              CO              1119
27              CR              1111
46              LI              1110
68              PO              1052
7               AT              1002
6               AR              1001
56              MS               979
93              TN               971
83              SA               939
92              TE               933
71              PT               895
0               AG               872
58              NO               827
82              RO               794
17              BT               792
11              BI               779
3               AO               769
44              LC               765
5               AQ               757
4               AP               682
73              PV               645
30              CZ               641
15              BR               640
69              PR               637
37              FR               635
59              NU               622
79              RI               618
62              PC               603
67              PN               602
89              SU               596
87              SR               577
74              PZ               574
13              BN               574
54              MN               572
2               AN               565
51              MC               545
72              PU               534
47              LO               534
85              SO               481
33              FE               469
64              PE               465
57              MT               455
34              FG               438
41              IM               428
39              GO               410
84              SI               406
8               AV               402
22              CH               402
96              TR               397
103             VC               364
20              CB               351
60              OR               346
12              BL               335
102             VB               280
36              FM               280
78              RG               265
31              EN               257
97              TS               246
28              CS               183
91              TA               117
24              CL                84
43              KR                44
109             VV                44
42              IS                38
23              CI                 2
70              PS                 1
107             VS                 1
