Avg Civil Liability Claim Amount by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
773                          TDM          10000.000000
253                         FAST           9560.000000
659                       RAPIDO           9460.640000
711              SAME DEUTZ FAHR           8422.000000
242                    ETRIKOSKG           8365.000000
941                           hm           7999.990000
122                       Borile           7782.000000
11                            AC           7500.000000
997                      polaris           7442.000000
733                          SKI           7217.120000
945                    innocenti           7150.010000
441                       KIA UP           7150.000000
922                        dodge           6700.000000
191                    CYHATENET           6590.000000
167                CITROEN DS 20           6370.000000
581                     Moto spa           6000.000000
1024                       vespa           5752.520000
173                   CLAAS KGAA           5720.000000
382                    HONDA 250           5716.100000
223                       DRESEL           5640.000000
683                    RIMORCHIO           5550.000000
319                       FIESTA           5501.840000
385                       HORWIN           5497.000000
177                    CLASS 583           5450.000000
897                        astra           5368.000000
725                SEMIRIMORCHIO           5144.000000
971          mariniello generosa           5143.280000
275                     FIAT 680           5000.000000
874                           WW           4700.000000
228                          DUE           4530.000000
894                   alfa romeo           4450.000000
982                  microcar 61           4450.000000
235                           E3           4428.000000
182               CNH INDUSTRIAL           4400.000000
599                       Nissan           4321.560000
29                        AIAXAM           4300.000000
139                  CATERPILLAR           4270.666667
93                       BELARUS           4248.500000
257                        FE.BA           4090.000000
778                        TIGRE           4070.000000
672                 RENAULT Clio           4000.000000
618                       PAJERO           3912.000000
622                      PAQUALI           3900.000000
695                  RVM VEICOLI           3869.000000
666                   REN.MEGANE           3837.000000
1007                      scania           3800.000000
511                MAN TRUCK BUS           3735.250000
395              Harley-Davidson           3732.818182
831                         VOGE           3704.502000
135                        CASEI           3700.000000
902                      benelli           3700.000000
961                        lexus           3700.000000
929                        fendt           3657.090000
187                   COMACA SRL           3652.000000
867            WIN LIFE ELECTRIC           3625.020000
807                          UAZ           3614.790000
956                        kymko           3599.535000
406                        ISEKI           3559.693333
350                      GAS GAS           3516.580000
109                     BMW 520i           3500.000000
700                   S  L H 874           3500.000000
230                          Daf           3500.000000
423         JANGSSU LUNENG ELECT           3500.000000
494                      LINDNER           3449.210000
438                     KAWASAKY           3422.500000
89                         B M W           3400.000000
286                   FIAT ICEVO           3400.000000
794                 TRATTORE 4RM           3400.000000
153                      CHATNET           3400.000000
667                      RENAUKT           3400.000000
919                          cnh           3391.540000
129                       CARRON           3372.840000
639                  PININFARINA           3321.500000
184                          CNN           3310.000000
82                         AXIAM           3310.000000
130                     CARTHAGO           3294.000000
988                   new holand           3292.350000
497                          LML           3281.996667
36                        AIXAMA           3270.000000
295                 FIAT PANDA 7           3260.000000
133                 CASALINI SRL           3256.655000
85                         Aixam           3230.886667
72                  AUSTIN ROVER           3227.076667
428                   JHON DEERE           3200.000000
480                      LANIDNI           3199.000000
1015                      susuki           3187.000000
