Civil Liability Claims by Vehicle Brand (Top 15 shown in plot)

                   VEHICLE_BRAND  NUMBER_OF_CLAIMS
267                         FIAT             31088
837                   VOLKSWAGEN              9291
323                         FORD              8944
669                      RENAULT              6663
603                         OPEL              6098
781                       TOYOTA              6052
469                       LANCIA              5792
532                     MERCEDES              5471
630                      PEUGEOT              5295
162                      CITROEN              5127
67                          AUDI              4966
107                          BMW              3866
590                       NISSAN              3336
49                    ALFA ROMEO              2807
195                        DACIA              2688
391                      HYUNDAI              2566
749                       SUZUKI              2204
739                        SMART              2160
381                        HONDA              2065
426                         JEEP              2045
440                          KIA              1902
636                      PIAGGIO              1711
548                         MINI              1544
411                        IVECO              1110
478                   LAND ROVER              1075
723                         SEAT              1063
841                        VOLVO               884
734                        SKODA               878
31                         AIXAM               859
155                    CHEVROLET               800
556                   MITSUBISHI               775
884                       YAMAHA               709
491                       LIGIER               615
522                        MAZDA               557
396                        Honda               454
375              HARLEY-DAVIDSON               436
457                        KYMCO               318
650                      Piaggio               310
201                     DAIHATSU               301
57                       APRILIA               293
812                      Unknown               278
746                       SUBARU               248
421                       JAGUAR               224
222                           DR               223
642                      PORSCHE               212
885                       Yamaha               199
10                        ABARTH               145
196                       DAEWOO               142
931                         fiat               141
802                      TRIUMPH               140
743                    SSANGYONG               140
224                           DS               135
450                          KTM               132
436                     KAWASAKI               132
408                        ISUZU               131
757                          SYM               124
484                        LEXUS               120
150                     CHATENET               118
506                     MALAGUTI                97
87                       Aprilia                96
462                        Kymco                95
374              HARLEY DAVIDSON                90
101                         BETA                85
156                     CHRYSLER                83
964                       ligier                80
542                           MG                79
995                      piaggio                78
775                        TESLA                75
523                          MBK                73
719                       SCANIA                70
225                       DUCATI                69
586                  NEW HOLLAND                64
948                        iveco                64
705                         SAME                62
95                       BENELLI                61
190                        CUPRA                56
891                        aixam                56
199                          DAF                55
544                     MICROCAR                48
516                     MASERATI                47
703                         SAAB                46
250                       FANTIC                46
505                     MAHINDRA                46
764                          Sym                46
479                      LANDINI                46
363             GREAT WALL MOTOR                43
467                  LAMBORGHINI                43
259                        FENDT                43
508                          MAN                41
439                       KEEWAY                40
932                         ford                39
379                           HM                38
245                          EVO                37
836                     VOLKSWAG                35
219                        DODGE                35
459                     Kawasaki                34
131                     CASALINI                34
432                   JOHN DEERE                34
74                   AUTOBIANCHI                32
876                          XEV                32
762                       Suzuki                32
403                     INFINITI                30
916                      citroen                30
353                       GILERA                29
554                     MITSUBIS                28
1000                     renault                27
128                      CARRARO                27
942                        honda                27
364                       GRECAV                26
770                         TATA                24
121                         Beta                24
574                     Malaguti                23
994                      peugeot                22
678               RENAULT TRUCKS                22
846                           VW                22
888                       ZONTES                22
389                    HUSQVARNA                20
233                       Ducati                20
358                      GOLDONI                20
1026                  volkswagen                20
688                        ROVER                20
905                          bmw                20
756                          SWM                18
978                     mercedes                18
