Indicative Payout vs. Annual Premium (Claiming Policies)

                                         WARRANTY  NUMBER_OF_CLAIMS  AVERAGE_PREMIUM_FOR_CLAIMING_POLICIES  AVERAGE_CLAIM_COST  TOTAL_CLAIM_AMOUNT_PAID  TOTAL_PREMIUM_FOR_CLAIMING_POLICIES  INDICATIVE_PAYOUT_VS_ANNUAL_PREMIUM_FOR_CLAIMERS (%)
5                 COLLISION WITH FOREIGN VEHICLES                75                                   3.09         1686.555200             1.264916e+05                               231.75                                          54581.074434
6     DRIVER ACCIDENTS - HOSPITAL DAILY ALLOWANCE                 6                                   6.96         2280.800000             1.368480e+04                                41.76                                          32770.114943
7             DRIVER ACCIDENTS - MEDICAL EXPENSES                39                                   8.52         1773.996923             6.918588e+04                               332.28                                          20821.560130
25                                   VEHICLE FIRE               100                                  29.34         4567.843900             4.567844e+05                              2934.00                                          15568.656783
8         DRIVER ACCIDENTS - PERMANENT DISABILITY                87                                  17.64         2018.180345             1.755817e+05                              1534.68                                          11440.931660
20                                SPECIAL DEFENSE                31                                  19.73         1819.018710             5.638958e+04                               611.63                                           9219.557576
0                                       ACCIDENTS                74                                  19.08         1724.320811             1.275997e+05                              1411.92                                           9037.320811
13                               LEGAL PROTECTION               214                                  27.24         1132.413738             2.423365e+05                              5829.36                                           4157.172314
14                              NATURAL DISASTERS             12875                                  80.59         3047.450901             3.923593e+07                           1037596.25                                           3781.425612
26                          WILD ANIMAL COLLISION               141                                  67.82         2458.928865             3.467090e+05                              9562.62                                           3625.669220
3     CIVIL LIABILITY FOR NON-COMMERCIAL VEHICLES               138                                 110.44         3821.063333             5.273067e+05                             15240.72                                           3459.854521
19                          SOCIOPOLITICAL EVENTS              6028                                  94.86         2443.385820             1.472873e+07                            571816.08                                           2575.780961
1                            ADDITIONAL COVERAGES               511                                  13.08          292.415147             1.494241e+05                              6683.88                                           2235.589807
22                                          THEFT              2761                                 117.56         2397.200116             6.618670e+06                            324583.16                                           2039.129054
18                      SAFE REIMBURSEMENT OPTION              1055                                 106.69         2128.397450             2.245459e+06                            112557.95                                           1994.936217
17            PREMIUM PACKAGE - TRAVEL ASSISTANCE                33                                  10.00          170.943030             5.641120e+03                               330.00                                           1709.430303
16                       POLE POSITION ASSISTANCE               434                                  16.31          194.865760             8.457174e+04                              7078.54                                           1194.762479
9                                         GLASSES             35092                                  47.04          496.162224             1.741132e+07                           1650727.68                                           1054.766632
24  VANDALISM AND MALICIOUS ACTS BY THIRD PARTIES                 1                                 132.50         1395.000000             1.395000e+03                               132.50                                           1052.830189
15                                        OVER 65               175                                  19.61          190.790114             3.338827e+04                              3431.75                                            972.922561
10                                     GREEN LINE              1017                                  21.50          186.865674             1.900424e+05                             21865.50                                            869.142668
21                                 SPECIAL TRAVEL              3759                                  23.31          194.541758             7.312825e+05                             87622.29                                            834.584978
23                              TRAVEL ASSISTANCE             27319                                  32.21          206.477007             5.640745e+06                            879944.99                                            641.033862
2                                        BUSINESS                30                                  29.79          186.696000             5.600880e+03                               893.70                                            626.706949
4                       CIVIL LIABILITY INSURANCE            143095                                 393.20         2040.903541             2.920431e+08                          56264954.00                                            519.049731
11                             GUARANTEE FAILURES              2556                                 454.48         2135.120211             5.457367e+06                           1161650.88                                            469.794097
12                   KASCO AT FIRST ABSOLUTE RISK                 1                                 262.50         1000.000000             1.000000e+03                               262.50                                            380.952381
