Avg Overall Claim Amount by Province (Top 15 in plot)

    CLAIM_PROVINCE  AVERAGE_CLAIM_AMOUNT
56              MS           2281.971850
68              PO           2212.795185
70              PS           2128.000000
71              PT           2045.407956
96              TR           2033.825857
107             VS           2020.000000
38              GE           1996.639081
51              MC           1977.592376
66              PI           1965.593868
100        Unknown           1951.363696
2               AN           1950.081432
79              RI           1941.882970
0               AG           1913.142106
35              FI           1911.075498
80              RM           1899.301512
48              LT           1887.571790
94              TO           1878.973934
49              LU           1865.264227
98              TV           1801.911545
105             VI           1784.858686
43              KR           1783.845286
59              NU           1779.397532
86              SP           1777.665589
63              PD           1764.942520
81              RN           1755.770348
36              FM           1728.179355
24              CL           1718.711468
46              LI           1717.222040
5               AQ           1702.004301
21              CE           1701.796827
26              CO           1695.297936
40              GR           1691.010818
104             VE           1689.464815
78              RG           1686.135640
6               AR           1679.317423
13              BN           1679.003464
83              SA           1676.062911
45              LE           1666.001499
77              RE           1663.687263
65              PG           1643.480188
95              TP           1643.214617
15              BR           1641.773368
87              SR           1631.515840
4               AP           1623.529890
72              PU           1621.079044
19              CA           1617.166464
64              PE           1611.318740
50              MB           1601.153231
108             VT           1596.389864
22              CH           1574.197169
55              MO           1574.164214
82              RO           1561.572694
34              FG           1559.764500
44              LC           1556.403978
85              SO           1547.634915
61              PA           1543.639428
29              CT           1535.820413
12              BL           1528.558363
84              SI           1528.298325
69              PR           1527.124084
52              ME           1519.203287
10              BG           1514.008309
97              TS           1511.419362
9               BA           1511.138351
67              PN           1508.814554
93              TN           1507.979491
92              TE           1506.704405
31              EN           1505.027949
99              UD           1503.804397
106             VR           1499.892938
16              BS           1499.391260
41              IM           1498.203140
74              PZ           1497.059277
39              GO           1495.793233
53              MI           1477.120603
14              BO           1476.561808
25              CN           1471.173762
54              MN           1471.015524
91              TA           1440.797610
17              BT           1440.670753
90              SV           1440.313902
8               AV           1429.448235
20              CB           1411.861247
11              BI           1400.577150
101             VA           1398.989577
18              BZ           1388.046888
37              FR           1384.227040
75              RA           1372.919941
57              MT           1368.617429
27              CR           1367.540203
32              FC           1362.497497
33              FE           1350.430665
88              SS           1340.184557
7               AT           1338.408840
58              NO           1298.778541
89              SU           1282.743289
62              PC           1248.442730
28              CS           1231.924576
3               AO           1214.721758
76              RC           1212.516683
60              OR           1201.365063
1               AL           1151.763309
102             VB           1138.756838
47              LO           1133.864820
103             VC           1125.328898
73              PV           1098.730846
30              CZ           1084.911077
109             VV           1074.329727
42              IS           1060.285714
23              CI            674.185000
