Overall Claims by Province (Top 15 shown in plot)

    CLAIM_PROVINCE  NUMBER_OF_CLAIMS
94              TO             25272
80              RM             12880
53              MI             11385
100        Unknown              7610
63              PD              5694
61              PA              5540
105             VI              5341
16              BS              5056
88              SS              4784
10              BG              4736
99              UD              4562
101             VA              4444
9               BA              4342
25              CN              4030
35              FI              3983
98              TV              3593
14              BO              3385
52              ME              3350
65              PG              3247
106             VR              3135
55              MO              3128
38              GE              2993
76              RC              2716
27              CR              2704
104             VE              2677
1               AL              2650
21              CE              2562
75              RA              2534
32              FC              2525
81              RN              2471
90              SV              2432
50              MB              2368
108             VT              2280
18              BZ              2272
26              CO              2171
7               AT              2146
49              LU              2070
29              CT              1962
19              CA              1838
58              NO              1816
66              PI              1771
95              TP              1763
48              LT              1732
86              SP              1671
45              LE              1641
40              GR              1639
77              RE              1637
73              PV              1632
93              TN              1590
11              BI              1509
46              LI              1466
54              MN              1394
47              LO              1392
68              PO              1381
44              LC              1380
6               AR              1370
17              BT              1354
92              TE              1319
30              CZ              1318
83              SA              1309
3               AO              1274
82              RO              1240
56              MS              1200
71              PT              1194
62              PC              1154
67              PN              1133
37              FR              1081
0               AG              1040
69              PR              1026
5               AQ               951
59              NU               928
4               AP               912
89              SU               906
33              FE               902
103             VC               880
15              BR               867
85              SO               826
79              RI               825
74              PZ               775
2               AN               761
57              MT               743
34              FG               740
72              PU               732
87              SR               714
39              GO               696
13              BN               690
51              MC               686
8               AV               612
41              IM               605
64              PE               603
84              SI               603
60              OR               557
12              BL               556
22              CH               537
96              TR               531
102             VB               525
20              CB               449
31              EN               351
36              FM               341
28              CS               330
97              TS               329
78              RG               328
91              TA               205
109             VV               110
24              CL               109
43              KR                70
42              IS                63
23              CI                 2
107             VS                 2
70              PS                 1
