Avg Overall Claim Amount by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  AVERAGE_CLAIM_AMOUNT
910                                                  TDM          10000.000000
300                                                 FAST           9560.000000
837                                      SAME DEUTZ FAHR           8422.000000
288                                            ETRIKOSKG           8365.000000
141                                               Borile           7782.000000
11                                                    AC           7500.000000
1171                                             polaris           7442.000000
863                                                  SKI           7217.120000
1114                                           innocenti           7150.010000
520                                               KIA UP           7150.000000
224                                            CYHATENET           6590.000000
197                                        CITROEN DS 20           6370.000000
525                                                KNAUS           6114.375000
687                                             Moto spa           6000.000000
1201                                               vespa           5752.520000
204                                           CLAAS KGAA           5720.000000
450                                            HONDA 250           5716.100000
263                                                DREAM           5660.000000
264                                               DRESEL           5640.000000
804                                            RIMORCHIO           5550.000000
374                                               FIESTA           5501.840000
208                                            CLASS 583           5450.000000
1056                                               astra           5368.000000
1142                                 mariniello generosa           5143.280000
325                                             FIAT 680           5000.000000
777                                               RAPIDO           4981.400000
1030                                                  WW           4700.000000
1110                                               hymer           4580.000000
269                                                  DUE           4530.000000
1213  ||||||||||||||||||||||||||||||||||||||||||||||||||           4500.000000
1053                                          alfa romeo           4450.000000
1154                                         microcar 61           4450.000000
278                                                   E3           4428.000000
213                                       CNH INDUSTRIAL           4400.000000
707                                               Nissan           4321.560000
162                                          CATERPILLAR           4270.666667
171                                            CHANTENET           4255.000000
109                                              BELARUS           4248.500000
1108                                                  hm           4239.995000
304                                                FE.BA           4090.000000
178                                             CHAUSSON           4079.700000
916                                                TIGRE           4070.000000
791                                         RENAULT Clio           4000.000000
181                                             CHRISLER           3969.500000
727                                               PAJERO           3912.000000
731                                              PAQUALI           3900.000000
819                                          RVM VEICOLI           3869.000000
784                                           REN.MEGANE           3837.000000
396                                         FORD TRIGANO           3782.500000
1132                                               lexus           3700.000000
157                                                CASEI           3700.000000
1062                                             benelli           3700.000000
152                                             CARTHAGO           3666.666667
1094                                               fendt           3657.090000
218                                           COMACA SRL           3652.000000
1021                                   WIN LIFE ELECTRIC           3625.020000
1125                                               kymko           3599.535000
481                                                ISEKI           3559.693333
273                                                  Daf           3500.000000
902                                              TABBERT           3500.000000
825                                           S  L H 874           3500.000000
501                                 JANGSSU LUNENG ELECT           3500.000000
125                                             BMW 520i           3500.000000
579                                              LINDNER           3449.210000
1086                                               dodge           3436.130000
517                                             KAWASAKY           3422.500000
338                                           FIAT ICEVO           3400.000000
786                                              RENAUKT           3400.000000
934                                         TRATTORE 4RM           3400.000000
103                                                B M W           3400.000000
1081                                                 cnh           3391.540000
548                                   LAIKA CARAVANS SPA           3383.000000
151                                               CARRON           3372.840000
215                                                  CNN           3310.000000
96                                                 AXIAM           3310.000000
1161                                          new holand           3292.350000
38                                                AIXAMA           3270.000000
348                                         FIAT PANDA 7           3260.000000
155                                         CASALINI SRL           3256.655000
1087                                                  dr           3251.000000
99                                                 Aixam           3230.886667
955                                                 V.W.           3214.000000
506                                           JHON DEERE           3200.000000
565                                              LANIDNI           3199.000000
1192                                              susuki           3187.000000
457                                             HUSABERG           3172.000000
600                                        MAN TRUCK BUS           3156.833333
136                                               BUFALO           3150.000000
209                                                  CMC           3146.000000
344                                         FIAT PALIO 7           3126.000000
566                                              LAVERDA           3120.000000
253                                           DEUTZ-FAHR           3113.500000
537                                                KWANG           3109.000000
40                                                 AIXMA           3104.200000
962                                            VALPADANA           3101.705000
114                                              BEROISH           3100.000000
640                                                MERLO           3077.440909
232                                         DAEWOO MATIZ           3068.500000
694                                                NIBBI           3055.000000
997                                             VW CADDY           3045.756667
809                                          ROLLS ROYCE           3045.000000
914                                                  TGB           3045.000000
128                                              BONETTI           3045.000000
781                                               REFORM           3025.940000
1164                                                opeL           3023.666667
909                                              TAZZARI           3004.000000
1038                                                 XXX           3000.000000
