Overall Claims by Vehicle Brand (Top 15 shown in plot)

                                           VEHICLE_BRAND  NUMBER_OF_CLAIMS
315                                                 FIAT             47885
981                                           VOLKSWAGEN             17050
380                                                 FORD             15267
788                                              RENAULT             10789
626                                             MERCEDES             10778
73                                                  AUDI             10162
712                                                 OPEL              9937
920                                               TOYOTA              9326
741                                              PEUGEOT              9090
553                                               LANCIA              8809
123                                                  BMW              8666
191                                              CITROEN              8394
696                                               NISSAN              5516
52                                            ALFA ROMEO              5270
504                                                 JEEP              4422
461                                              HYUNDAI              4230
229                                                DACIA              4091
883                                               SUZUKI              3466
869                                                SMART              3330
519                                                  KIA              3264
648                                                 MINI              3259
449                                                HONDA              2727
562                                           LAND ROVER              2380
749                                              PIAGGIO              1851
989                                                VOLVO              1811
852                                                 SEAT              1795
487                                                IVECO              1759
864                                                SKODA              1556
180                                            CHEVROLET              1225
660                                           MITSUBISHI              1180
614                                                MAZDA              1116
33                                                 AIXAM              1027
1041                                              YAMAHA               818
576                                               LIGIER               788
756                                              PORSCHE               560
466                                                Honda               519
879                                               SUBARU               518
498                                               JAGUAR               491
442                                      HARLEY-DAVIDSON               478
953                                              Unknown               471
10                                                ABARTH               444
237                                             DAIHATSU               409
539                                                KYMCO               379
262                                                   DR               378
766                                              Piaggio               337
61                                               APRILIA               328
265                                                   DS               311
569                                                LEXUS               262
875                                            SSANGYONG               260
1042                                              Yamaha               226
1096                                                fiat               210
230                                               DAEWOO               190
483                                                ISUZU               188
943                                              TRIUMPH               164
182                                             CHRYSLER               162
515                                             KAWASAKI               160
532                                                  KTM               159
174                                             CHATENET               152
642                                                   MG               150
892                                                  SYM               146
913                                                TESLA               145
544                                                Kymco               113
266                                               DUCATI               111
223                                                CUPRA               108
605                                             MASERATI               107
101                                              Aprilia               106
594                                             MALAGUTI               106
1135                                              ligier               106
259                                                DODGE               101
441                                      HARLEY DAVIDSON                95
117                                                 BETA                91
1117                                               iveco                90
845                                               SCANIA                89
828                                                 SAAB                85
1169                                             piaggio                81
233                                                  DAF                80
111                                              BENELLI                76
615                                                  MBK                74
1050                                               aixam                73
476                                             INFINITI                72
593                                             MAHINDRA                72
692                                          NEW HOLLAND                69
428                                     GREAT WALL MOTOR                69
831                                                 SAME                67
1098                                                ford                63
596                                                  MAN                61
644                                             MICROCAR                58
980                                             VOLKSWAG                57
292                                                  EVO                54
564                                              LANDINI                54
551                                          LAMBORGHINI                50
900                                                  Sym                49
297                                               FANTIC                49
306                                                FENDT                48
518                                               KEEWAY                47
153                                             CASALINI                46
1175                                             renault                46
798                                       RENAULT TRUCKS                45
1203                                          volkswagen                43
446                                                   HM                42
1032                                                 XEV                40
907                                                 TATA                40
83                                           AUTOBIANCHI                39
511                                           JOHN DEERE                39
1078                                             citroen                38
631                                        MERCEDES BENZ                38
1149                                            mercedes                37
898                                               Suzuki                37
541                                             Kawasaki                36
1168                                             peugeot                36
149                                              CARRARO                36
994                                                   VW                36
1065                                                 bmw                33
417                                               GILERA                33
240                                              DAIMLER                32
811                                                ROVER                31
656                                             MITSUBIS                31
276                                               Ducati                30
1109                                               honda                30
429                                               GRECAV                29
670                                           MOTO GUZZI                27
140                                                 Beta                25
680                                             Malaguti                24
638                                        MERCEDES-BENZ                23
1046                                              ZONTES                23
458                                            HUSQVARNA                23
1165                                                opel                22
405                                         Fantic Motor                21
85                                             AUTOCARRO                20
891                                                  SWM                20
765                                              Peugeot                20
423                                              GOLDONI                20
139                                              Benelli                19
816                                        ROYAL ENFIELD                18
465                                      Harley-Davidson                17
356                                         FIAT Panda 1                17
427                                           GREAT WALL                17
408                                                 Fiat                16
1163                                              nissan                16
821                                              Renault                15
53                                                 ALTRE                15
933                                             TRATTORE                14
946                                              Triumph                14
575                                                LIGER                14
522                                                KIMKO                14
1057                                                audi                14
1073                                            chatenet                13
298                                         FANTIC MOTOR                13
34                                            AIXAM MEGA                13
609                                      MASSEY FERGUSON                13
1157                                          mitsubishi                13
248                                                DERBI                12
993                                          VOLVO TRUCK                12
508                                                 JOHN                12
16                                                 ADRIA                12
44                                                  ALFA                11
166                                               CFMOTO                11
130                                              BREMACH                11
683                                             Mercedes                11
640                                                MERLO                11
1211                                              yamaha                11
1196                                              toyota                11
704                                                  NIU                10
426                                                GREAT                10
686                                           Moto Guzzi                10
443                                                HAVAL                10
395                                         FORD TRANSIT                10
590                                               Ligier                10
582                                                  LML                10
1193                                              suzuki                10
210                                                  CNH                10
132                                              BRIXTON                10
1027                                        WOTTAN MOTOR                10
311                                              FERRARI                10
530                                             KSR MOTO                10
