CLAIM_ID,POLICYHOLDER_AGE,POLICYHOLDER_GENDER,WARRANTY,CLAIM_DATE,CLAIM_REGION,CLAIM_PROVINCE,VEHICLE_BRAND,VEHICLE_MODEL,CLAIM_AMOUNT_PAID,PREMIUM_AMOUNT_PAID
202446,49,F,CIVIL LIABILITY INSURANCE,02/08/2023,ABRUZZO,TE,FIAT,Panda 3a serie,1730.0,393.2
20884,52,M,TRAVEL ASSISTANCE,26/07/2022,ABRUZZO,TE,VOLKSWAGEN,TOURAN,182.27,32.21
78836,42,M,GLASSES,13/09/2022,SARDEGNA,SS,OPEL,VIVARO,500.0,47.04
121114,39,F,CIVIL LIABILITY INSURANCE,09/03/2023,EMILIA ROMAGNA,RA,CITROEN,C3 3a serie,2060.0,393.2
16689,51,F,CIVIL LIABILITY INSURANCE,03/07/2024,VENETO,VE,CITROEN,NEMO,3047.42,393.2
226374,60,F,TRAVEL ASSISTANCE,20/07/2023,VENETO,PD,FIAT,IDEA,118.63,32.21
180373,74,F,TRAVEL ASSISTANCE,19/06/2024,FRIULI VENEZIA GIULIA,UD,JEEP,RENEGADE,153.72,32.21
73531,76,M,CIVIL LIABILITY INSURANCE,18/01/2023,LAZIO,RM,FIAT,PUNTO 3a SERIE,2100.0,393.2
200338,51,F,CIVIL LIABILITY INSURANCE,14/10/2022,LOMBARDIA,MN,OPEL,Insignia,2806.0,393.2
122295,65,M,CIVIL LIABILITY INSURANCE,14/03/2024,PIEMONTE,TO,PEUGEOT,208 2A SERIE,4100.0,393.2
148458,43,M,CIVIL LIABILITY INSURANCE,15/02/2024,TOSCANA,FI,FORD,TRANSIT,333.0,393.2
207834,83,M,CIVIL LIABILITY INSURANCE,17/02/2023,CAMPANIA,,FIAT,SCUDO (2006-2016),1630.0,393.2
208448,40,F,CIVIL LIABILITY INSURANCE,18/12/2023,LOMBARDIA,CO,TOYOTA,YARIS CROSS,408.0,393.2
209935,65,F,CIVIL LIABILITY INSURANCE,22/06/2022,LAZIO,RM,SUZUKI,JIMNY 3a SERIE,2283.0,393.2
219621,48,M,GLASSES,24/06/2022,TOSCANA,LU,OPEL,Zafira 2a serie,107.01,47.04
37214,39,M,SOCIOPOLITICAL EVENTS,08/05/2023,PIEMONTE,AT,MERCEDES,Classe A (W/C169),2070.0,94.86
154536,42,F,CIVIL LIABILITY INSURANCE,04/09/2023,EMILIA ROMAGNA,BO,FIAT,PUNTO 3A SERIE,2060.0,393.2
33255,56,M,NATURAL DISASTERS,01/07/2022,VENETO,PD,MERCEDES,Classe A   (W/C169),1082.99,80.59
37012,49,M,TRAVEL ASSISTANCE,01/01/2023,LAZIO,RM,NISSAN,Pulsar,140.91,32.21
93090,49,M,GLASSES,06/10/2022,PIEMONTE,TO,FIAT,Croma (2005),400.0,47.04
200704,40,M,THEFT,11/07/2023,EMILIA ROMAGNA,BO,LAND ROVER,DISCOVERY SPORT,325.0,117.56
111928,59,M,CIVIL LIABILITY INSURANCE,25/10/2022,SARDEGNA,SS,RENAULT,Clio 2a serie,2283.0,393.2
108495,30,M,THEFT,01/12/2024,VENETO,VI,MERCEDES,CLASSE A      W177,155.0,117.56
203785,62,M,CIVIL LIABILITY INSURANCE,26/03/2024,EMILIA ROMAGNA,MO,FORD,FOCUS 4A SERIE,4392.0,393.2
84709,59,M,CIVIL LIABILITY INSURANCE,25/12/2023,SICILIA,PA,OPEL,AGILA 2? SERIE,1787.0,393.2
189736,50,M,SPECIAL TRAVEL,29/08/2022,CAMPANIA,CE,MERCEDES,Classe B (T245),133.19,23.31
42771,61,F,CIVIL LIABILITY INSURANCE,29/11/2023,UMBRIA,PG,RENAULT,CLIO 3A SERIE,2060.0,393.2
181652,79,F,CIVIL LIABILITY INSURANCE,06/03/2022,VENETO,TV,CITROEN C5 2,CITROEN C5 2,2283.0,393.2
140498,39,F,NATURAL DISASTERS,27/07/2022,MARCHE,AP,TOYOTA,Yaris 3a serie,2900.0,80.59
62032,68,M,TRAVEL ASSISTANCE,13/05/2023,VENETO,RO,FIAT,DUCATO (2a SERIE),359.97,32.21
229526,52,M,CIVIL LIABILITY INSURANCE,20/04/2024,MARCHE,PU,APRILIA,SCARABEO 50,9205.0,393.2
91789,32,F,CIVIL LIABILITY INSURANCE,29/01/2022,TOSCANA,LI,MERCEDES,Classe C Coup.. C205,678.0,393.2
95808,38,F,GLASSES,02/08/2024,PIEMONTE,TO,HYUNDAI,I20,600.0,47.04
86871,59,F,CIVIL LIABILITY INSURANCE,15/11/2023,LIGURIA,IM,FIAT,PANDA 2? SERIE,1787.0,393.2
62036,54,M,CIVIL LIABILITY INSURANCE,29/06/2023,SICILIA,PA,AIXAM,S9,1787.0,393.2
171324,44,F,CIVIL LIABILITY INSURANCE,22/08/2022,PIEMONTE,NO,AUDI,A3 3a SERIE,3012.0,393.2
104014,52,M,GLASSES,05/10/2023,,EN,FIAT 244,AUTOCARAVA 8PMAC,750.0,47.04
196899,62,F,GLASSES,25/03/2022,LAZIO,RI,FIAT,PANDA 2a SERIE,382.41,47.04
177987,78,M,NATURAL DISASTERS,30/06/2022,PIEMONTE,TO,FIAT,Panda 3a serie,315.0,80.59
234150,50,F,CIVIL LIABILITY INSURANCE,10/09/2023,LOMBARDIA,VA,OPEL,CORSA 4A SERIE,2060.0,393.2
189142,60,M,NATURAL DISASTERS,22/12/2023,PIEMONTE,TO,PORSCHE,MACAN,1581.59,80.59
165766,60,F,CIVIL LIABILITY INSURANCE,20/01/2022,UMBRIA,PG,KIA,CEE'D 2a SERIE,1170.0,393.2
124945,60,M,CIVIL LIABILITY INSURANCE,02/01/2023,ABRUZZO,AQ,NISSAN,TR260,2060.0,393.2
65460,80,M,CIVIL LIABILITY INSURANCE,24/03/2023,LOMBARDIA,VA,MERCEDES,Classe A (W/C169),1825.44,393.2
235470,62,M,CIVIL LIABILITY INSURANCE,14/02/2022,PUGLIA,BA,FIAT,SCUDO,2400.0,393.2
45636,56,M,GLASSES,24/11/2024,PIEMONTE,TO,SMART,FORTWO 2? SERIE,103.0,47.04
216640,61,F,CIVIL LIABILITY INSURANCE,17/04/2023,PIEMONTE,CN,HONDA,Jazz 4a serie '20->,2060.0,393.2
